"Environment and Climate Change Canada"
"Monthly Values for August - 2019"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"SANDHEADS CS","49.106","-123.303","BC","18.6","1",NA,"24.0","1","14.4","1","",,NA,"",,NA,"","","",,NA,"8.4","26.1","1107010"
"SUMAS CANAL","49.113","-122.110","BC","20.3","19",NA,"31.0","14","12.0","13","0.0","14",NA,"28.6","14",NA,"","7","","",NA,"0.2","28.1","1107785"
"VANCOUVER SEA ISLAND CCG","49.183","-123.187","BC","19.1","0",NA,"26.3","0","11.5","0","",,NA,"16.2","0",NA,"","4","",,NA,"4.1","37.1","1108380"
"VANCOUVER INTL A","49.195","-123.184","BC","18.7","0",NA,"26.0","0","10.0","0","0.0","0",NA,"25.8","0",NA,"","6","",,NA,"6.0","26.2","1108395"
"VANCOUVER HARBOUR CS","49.295","-123.122","BC","19.6","0",NA,"27.8","0","12.1","0","",,NA,"23.2","0",NA,"","3","",,NA,"1.7","51.9","1108446"
"WEST VANCOUVER AUT","49.347","-123.193","BC","19.3","1",NA,"29.5","1","12.2","1","",,NA,"31.0","1",NA,"","3","",,NA,"6.8","47.1","1108824"
"WHISTLER ROUNDHOUSE","50.068","-122.947","BC","11.6","0",NA,"21.0","0","4.0","0","0.0","0",NA,"40.3","0",NA,"0.0","10","","",NA,"198.7","0.0","1108906"
"WHITE ROCK CAMPBELL SCIENTIFIC","49.018","-122.784","BC","18.5","0",NA,"29.1","0","10.5","0","",,NA,"17.4","0",NA,"","3","",,NA,"6.5","23.3","1108910"
"HOPE A","49.368","-121.498","BC","20.0","1",NA,"33.0","1","10.2","1","",,NA,"30.4","1",NA,"","3","",,NA,"4.7","63.8","1113542"
"HOPE AIRPORT","49.370","-121.493","BC","19.9","0",NA,"32.8","0","9.9","0","",,NA,"28.7","0",NA,"","2","",,NA,"5.3","63.5","1113543"
"HOPE SLIDE","49.267","-121.233","BC","16.4","0","1.2","30.0","0","7.5","0","0.0","0",NA,"13.4","0","32.0","0.0","8","","",NA,"56.3","7.6","1113581"
"LILLOOET","50.684","-121.934","BC","22.7","0",NA,"37.1","0","11.2","0","",,NA,"12.2","0",NA,"","1","",,NA,"0.0","146.3","1114619"
"LYTTON A","50.224","-121.582","BC","22.6","1",NA,"36.6","1","10.9","1","",,NA,"8.8","1",NA,"","3","",,NA,"0.0","138.6","1114738"
"LYTTON RCS","50.224","-121.582","BC","23.0","0",NA,"37.7","0","10.8","0","",,NA,"9.0","2",NA,"","3","",,NA,"0.0","155.6","1114746"
"JELLICOE","49.673","-120.333","BC","17.0","1",NA,"33.5","1","4.0","1","0.0","1",NA,"15.8","1",NA,"0.0","4","","",NA,"45.4","14.0","1123721"
"KELOWNA","49.957","-119.378","BC","19.8","0",NA,"36.1","0","6.3","0","",,NA,"14.6","0",NA,"","2","",,NA,"7.5","62.9","1123939"
"KELOWNA UBCO","49.941","-119.400","BC","21.3","0",NA,"37.1","0","9.1","0","",,NA,"12.4","16",NA,"","1","",,NA,"2.8","104.6","1123996"
"MERRITT","50.113","-120.778","BC","18.3","1",NA,"34.8","1","4.4","1","",,NA,"12.8","1",NA,"","4","",,NA,"19.8","28.3","1125073"
"OSOYOOS CS","49.028","-119.441","BC","22.9","0","0.5","38.2","0","10.3","0","",,NA,"",,NA,"","","",,NA,"0.8","152.2","1125852"
"PEACHLAND","49.783","-119.717","BC","22.4","0","1.6","36.0","0","12.0","0","0.0","0",NA,"6.6","0","25.0","0.0","3","","",NA,"0.2","137.4","1126070"
"PENTICTON A","49.463","-119.602","BC","20.9","1",NA,"36.9","1","7.8","1","0.0","1",NA,"21.0","0",NA,"","3","",,NA,"3.5","89.6","1126146"
"PRINCETON A","49.468","-120.513","BC","18.6","0","0.7","35.5","0","5.0","0","0.0","0",NA,"9.6","0","39.0","0.0","3","","",NA,"18.3","37.3","1126510"
"PRINCETON A","49.468","-120.513","BC","18.7","0",NA,"35.5","0","5.1","0","",,NA,"",,NA,"","","",,NA,"17.3","39.1","1126518"
"VERNON AUTO","50.223","-119.194","BC","20.9","1",NA,"35.6","1","9.0","1","",,NA,"19.3","1",NA,"","4","",,NA,"3.8","91.0","1128582"
"VERNON SILVER STAR LODGE","50.359","-119.056","BC","13.8","1",NA,"27.0","1","1.0","1","0.0","1",NA,"53.7","1",NA,"0.0","7","","",NA,"132.2","7.0","1128584"
"PRINCETON CS","49.465","-120.510","BC","18.7","0",NA,"35.2","0","5.5","0","",,NA,"8.0","0",NA,"","2","",,NA,"17.1","40.0","112FN0M"
"SUMMERLAND CS","49.563","-119.649","BC","21.6","0","0.7","36.5","0","10.6","0","",,NA,"36.5","0",NA,"","5","",,NA,"2.0","115.1","112G8L1"
"MIDWAY","49.004","-118.772","BC","19.4","0","0.7","37.0","0","4.5","0","0.0","0",NA,"23.6","0","83.0","0.0","3","","",NA,"8.4","51.9","1135126"
"BILLINGS","49.017","-118.228","BC","21.7","5","1.3","37.5","5","9.5","5","0.0","5",NA,"30.4","5",NA,"0.0","3","","",NA,"0.0","95.1","1140876"
"CASTLEGAR A","49.296","-117.633","BC","21.1","0","1.1","37.5","0","7.0","0","0.0","0",NA,"14.8","0","49.0","0.0","3","","",NA,"1.2","98.2","1141455"
"CASTLEGAR BCHPA DAM","49.343","-117.774","BC","21.6","11","1.7","34.0","9","14.0","8","0.0","9",NA,"62.8","9",NA,"","3","","",NA,"0.0","71.7","1141457"
"CASTLEGAR A","49.296","-117.633","BC","20.8","0",NA,"37.5","0","6.0","0","",,NA,"",,NA,"","","",,NA,"2.0","89.4","1141460"
"DUNCAN LAKE DAM","50.239","-116.972","BC","18.0","0","1.0","33.0","0","4.5","0","0.0","0",NA,"53.0","0","102.0","0.0","10","","",NA,"19.7","21.0","1142574"
"NAKUSP CS","50.269","-117.817","BC","18.9","0",NA,"32.7","0","6.5","0","",,NA,"47.8","0",NA,"","7","",,NA,"14.4","41.2","1145297"
"NELSON NE","49.586","-117.206","BC","19.5","7",NA,"34.0","6","7.5","7","0.0","1",NA,"29.4","1",NA,"0.0","6","","",NA,"4.6","40.4","1145442"
"NEW DENVER","49.996","-117.370","BC","20.1","0","1.2","35.0","0","7.5","0","0.0","0",NA,"19.0","0","35.0","0.0","5","","",NA,"6.8","72.2","1145460"
"NELSON CS","49.491","-117.305","BC","21.2","0",NA,"37.4","0","8.1","0","",,NA,"",,NA,"","","",,NA,"0.0","98.3","1145M29"
"WARFIELD RCS","49.112","-117.739","BC","21.6","0",NA,"39.2","0","7.1","0","",,NA,"26.2","0",NA,"","2","",,NA,"0.8","113.5","1148705"
"CRESTON CAMPBELL SCIENTIFIC","49.082","-116.501","BC","21.4","0",NA,"34.8","0","10.1","0","",,NA,"21.8","0",NA,"","3","",,NA,"1.7","106.3","114B1F0"
"NELSON RIXEN CREEK","49.512","-117.399","BC","19.9","0",NA,"35.0","0","7.0","0","0.0","0",NA,"31.0","0",NA,"0.0","3","","",NA,"7.6","67.4","114EMDM"
"CRANBROOK A","49.612","-115.782","BC","18.9","2",NA,"34.5","2","5.1","2","0.0","1",NA,"14.2","0",NA,"","5","",,NA,"15.5","42.8","1152105"
"CRANBROOK AIRPORT AUTO","49.618","-115.789","BC","18.9","2",NA,"34.8","2","5.4","2","",,NA,"9.6","2",NA,"","2","",,NA,"16.3","42.6","1152106"
"FERNIE","49.489","-115.073","BC","17.3","5","1.0","32.5","5","2.0","5","0.0","5",NA,"26.8","5",NA,"","4","","",NA,"34.2","15.1","1152850"
"FT STEELE DANDY CRK","49.524","-115.461","BC","17.8","21",NA,"35.0","16","2.0","16","0.0","16",NA,"10.8","16",NA,"","3","","",NA,"9.1","6.8","1153034"
"KIMBERLEY PCC","49.632","-115.962","BC","19.8","10","2.2","34.5","10","6.0","10","0.0","10",NA,"3.0","10",NA,"","1","","",NA,"4.1","41.6","1154203"
"KOOTENAY NP WEST GATE","50.631","-116.061","BC","18.6","3","0.8","34.0","3","8.0","3","0.0","3",NA,"76.4","3",NA,"0.0","6","","",NA,"22.4","38.2","1154410"
"SPARWOOD","49.745","-114.883","BC","16.1","0","0.6","31.5","0","1.0","0","0.0","0","0.0","35.6","0","102.0","0.0","6","","",NA,"68.0","9.5","1157630"
"SPARWOOD CS","49.745","-114.884","BC","15.9","0",NA,"31.5","0","1.3","0","",,NA,"30.2","11",NA,"","5","",,NA,"70.9","6.3","1157631"
"SPARWOOD A","49.833","-114.883","BC","16.0","0",NA,"31.5","0","1.1","0","",,NA,"",,NA,"","","",,NA,"68.1","7.3","1157635"
"ASHCROFT","50.708","-121.281","BC","23.0","0",NA,"38.6","0","11.1","0","",,NA,"29.0","0",NA,"","3","",,NA,"0.0","154.5","1160515"
"BLUE RIVER A","52.129","-119.290","BC","16.3","0","0.4","32.0","0","2.0","0","0.0","0",NA,"66.2","0","80.0","0.0","9","","",NA,"61.6","9.9","1160899"
"BLUE RIVER A","52.125","-119.293","BC","16.1","0",NA,"31.9","0","2.1","0","",,NA,"",,NA,"","","",,NA,"67.8","9.5","1160902"
"BLUE RIVER CS","52.129","-119.290","BC","16.2","1",NA,"31.7","1","2.2","1","",,NA,"52.7","1",NA,"","9","",,NA,"62.8","8.8","1160H99"
"CLEARWATER AUTO","51.653","-120.082","BC","18.8","0",NA,"35.4","0","4.6","0","",,NA,"",,NA,"","","",,NA,"22.4","46.4","1161650"
"CLINTON A","51.266","-121.685","BC","13.7","0",NA,"29.6","0","0.8","0","",,NA,"27.5","1",NA,"","7","",,NA,"132.3","0.0","1161662"
"CLINTON RCS","51.144","-121.505","BC","15.8","0",NA,"31.6","0","4.7","0","",,NA,"61.7","0",NA,"","5","",,NA,"76.8","9.5","1161663"
"CRISS CREEK","51.030","-120.728","BC","13.6","10","0.4","29.0","10","1.0","10","0.0","10",NA,"18.4","10",NA,"0.0","2","","",NA,"92.8","0.0","1162177"
"KAMLOOPS A","50.703","-120.449","BC","21.6","3",NA,"36.5","3","10.5","3","0.0","5",NA,"16.7","0",NA,"","3","",,NA,"1.5","101.8","1163781"
"KAMLOOPS AUT","50.702","-120.442","BC","21.7","0",NA,"36.4","0","11.1","0","",,NA,"14.2","0",NA,"","4","",,NA,"1.3","115.4","1163842"
"100 MILE HOUSE 6NE","51.681","-121.217","BC","15.0","30",NA,"22.0","30","8.0","30","0.0","30",NA,"0.6","30",NA,"","0","","",NA,"3.0","0.0","1165793"
"RED LAKE","50.935","-120.800","BC","17.2","11","2.3","31.5","11","6.0","11","0.0","11",NA,"18.8","11",NA,"","4","","",NA,"34.5","18.0","1166658"
"SILVER CREEK","50.545","-119.350","BC","18.8","0","0.4","33.5","0","5.5","0","0.0","0",NA,"23.4","0","69.0","0.0","4","","",NA,"15.1","40.7","1167337"
"VAVENBY","51.576","-119.778","BC","18.2","2","0.6","34.0","1","4.5","1","0.0","1",NA,"32.6","1",NA,"0.0","5","","",NA,"26.4","30.8","1168520"
"KAMLOOPS PRATT ROAD","50.630","-120.172","BC","19.8","4",NA,"34.0","4","8.0","4","0.0","4",NA,"27.0","4",NA,"0.0","3","","",NA,"11.1","60.2","116C8P0"
"SALMON ARM CS","50.703","-119.291","BC","19.5","2","-0.2","32.8","2","7.4","2","",,NA,"6.6","14",NA,"","1","",,NA,"7.7","52.5","116FRMN"
"GOLDEN A","51.299","-116.982","BC","17.1","0","0.4","32.0","0","3.5","0","0.0","0",NA,"51.2","0","113.0","0.0","8","","",NA,"44.4","16.7","1173210"
"GOLDEN A","51.299","-116.982","BC","17.1","0",NA,"32.0","0","3.4","0","",,NA,"",,NA,"","","",,NA,"45.9","17.9","1173214"
"GOLDEN AIRPORT","51.300","-116.984","BC","17.0","0",NA,"31.9","0","3.6","0","",,NA,"39.0","0",NA,"","6","",,NA,"48.1","16.7","1173220"
"MICA DAM","52.053","-118.585","BC","15.7","5","-0.5","26.0","3","4.5","3","0.0","3",NA,"48.1","3",NA,"0.0","12","","",NA,"62.2","2.4","1175122"
"REVELSTOKE A","50.967","-118.183","BC","18.4","0",NA,"31.4","0","6.2","0","",,NA,"45.1","0",NA,"","8","",,NA,"22.9","35.2","1176745"
"REVELSTOKE AIRPORT AUTO","50.958","-118.176","BC","18.5","1",NA,"32.7","1","6.5","1","",,NA,"43.0","1",NA,"","7","",,NA,"21.1","37.0","1176755"
"YOHO PARK","51.443","-116.345","BC","13.4","0",NA,"27.9","0","-1.9","0","",,NA,"",,NA,"","","",,NA,"142.6","0.0","11790J1"
"YOHO NP OHARA LAKE","51.356","-116.337","BC","10.0","1",NA,"24.0","1","-1.5","1","0.0","1",NA,"102.0","1",NA,"0.0","19","","",NA,"239.2","0.0","117R00H"
"CHETWYND A","55.687","-121.627","BC","13.4","0","-1.1","27.5","0","1.0","0","0.0","0",NA,"148.8","0","290.0","0.0","12","","",NA,"146.6","4.1","1181508"
"CHETWYND A","55.687","-121.627","BC","13.3","0",NA,"27.7","0","0.8","0","",,NA,"",,NA,"","","",,NA,"150.7","4.0","1181513"
"DAWSON CREEK A","55.742","-120.183","BC","12.9","0",NA,"26.8","0","-0.7","0","",,NA,"71.7","0",NA,"","10","",,NA,"162.8","3.3","1182289"
"FORT ST. JOHN A","56.238","-120.740","BC","13.3","0",NA,"28.5","0","1.8","0","0.0","0",NA,"93.0","0",NA,"","12","",,NA,"151.4","7.0","1183001"
"MACKENZIE","55.299","-123.133","BC","13.7","0",NA,"27.8","0","1.1","0","",,NA,"82.4","3",NA,"","10","",,NA,"137.7","3.9","1184791"
"MACKENZIE AIRPORT AUTO","55.305","-123.138","BC","14.1","0",NA,"28.6","0","1.6","0","",,NA,"76.6","0",NA,"","11","",,NA,"126.2","5.2","1184793"
"DEASE LAKE A","58.422","-130.031","BC","11.2","0",NA,"28.4","0","-0.3","0","",,NA,"93.8","0",NA,"","13","",,NA,"214.6","2.8","1192341"
"FORT NELSON A","58.836","-122.597","BC","13.1","2",NA,"29.2","2","1.5","2","0.0","0",NA,"45.1","1",NA,"","8","",,NA,"149.7","6.2","1192946"
"FORT NELSON","58.841","-122.574","BC","13.1","0",NA,"28.9","0","1.4","0","",,NA,"57.1","0",NA,"","10","",,NA,"159.2","6.7","1192948"
"DEASE LAKE (AUT)","58.426","-130.025","BC","10.9","2",NA,"28.3","2","-0.5","2","",,NA,"89.2","2",NA,"","13","",,NA,"207.9","3.1","119BLM0"
"ATLIN","59.567","-133.700","BC","13.0","1","0.6","27.5","1","2.5","1","0.0","1",NA,"69.8","1",NA,"0.0","9","","",NA,"155.1","4.1","1200560"
"PLEASANT CAMP","59.450","-136.367","BC","14.2","0","0.8","27.5","0","-1.0","0","0.0","0",NA,"59.6","0","82.0","0.0","7","","",NA,"123.1","4.1","1206197"
